index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,Golden Lions[k],Pine Bluff,AR,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_and_Golden_Lady_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg/250px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg.png,Simmons Bank Field,Torii Hunter Baseball Complex,H.O. Clemmons Arena,Torii Hunter Softball Complex,,H.O. Clemmons Arena,,,"['#000000', '#EEB310']"
"University of California, Berkeley",California,Golden Bears,Berkeley,CA,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/California_Golden_Bears,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/California_Golden_Bears_logo.svg/250px-California_Golden_Bears_logo.svg.png,California Memorial Stadium,Evans Diamond,Haas Pavilion,Levine-Fricke Field,Edwards Stadium,,,,"['#041E42', '#FFC72C']"
"University of California, Davis",UC Davis,Aggies,Davis,CA,Public,FCS,Big West Conference[FB 5][C 11],https://en.wikipedia.org/wiki/UC_Davis_Aggies,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/UC_Davis_Aggies_logo.svg/250px-UC_Davis_Aggies_logo.svg.png,UC Davis Health Stadium,Ann and James Dobbins Baseball Complex,University Credit Union Center,La Rue Field,Aggie Soccer Field,,,,"['#B3A369', '#002855']"
"University of California, Irvine",UC Irvine,Anteaters,Irvine,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/UC_Irvine_Anteaters,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/250px-UC_Irvine_Anteaters_logo.svg.png,,Anteater Ballpark,Bren Events Center,,Anteater Stadium,,,,"['#0C2340', '#FFFFFF', '#FFC72C']"
"University of California, Los Angeles",UCLA,Bruins,Los Angeles,CA,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/UCLA_Bruins,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/250px-UCLA_Bruins_primary_logo.svg.png,Rose Bowl,Jackie Robinson Stadium,Pauley Pavilion,Easton Stadium,Wallis Annenberg Stadium,,,,"['#F2A900', '#2774AE']"
"University of California, Riverside",UC Riverside,Highlanders,Riverside,CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/UC_Riverside_Highlanders,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/UC_Riverside_Highlanders_logo.svg/250px-UC_Riverside_Highlanders_logo.svg.png,,Riverside Sports Complex,Student Recreation Center Arena,Amy S. Harrison Field,UC Riverside Soccer Stadium,,,,"['#003DA5', '#FFB81C']"
"University of California, San Diego",UC San Diego,Tritons,La Jolla,CA,Public,Non-football,Big West Conference[C 12],https://en.wikipedia.org/wiki/UC_San_Diego_Tritons,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/UC_San_Diego_Tritons_logo.png/250px-UC_San_Diego_Tritons_logo.png,,Triton Ballpark,LionTree Arena,Triton Softball Stadium,Triton Soccer Stadium,,,,"['#182B49', '#FFCD00']"
"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara[L 22],CA,Public,Non-football,Big West Conference,https://en.wikipedia.org/wiki/UC_Santa_Barbara_Gauchos,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/UC_Santa_Barbara_Gauchos_logo.svg/250px-UC_Santa_Barbara_Gauchos_logo.svg.png,,Caesar Uyesaka Stadium,UC Santa Barbara Events Center,Campus Diamond,Harder Stadium,,,,"['#FEBC11', '#003660']"
University of Central Arkansas,Central Arkansas,Bears[n],Conway,AR,Public,FCS,Atlantic Sun Conference[FB 1][C 2],https://en.wikipedia.org/wiki/Central_Arkansas_Bears_and_Sugar_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Central_Arkansas_Athletics_logo.svg/250px-Central_Arkansas_Athletics_logo.svg.png,Estes Stadium,Bear Stadium,Farris Center,Farris Field,Bill Stephens Track/Soccer Complex,,,,"['#582C83', '#7C878E']"
University of Central Florida,UCF,Knights,Orlando[L 23],FL,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/UCF_Knights,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/250px-UCF_Knights_logo.svg.png,Acrisure Bounce House,John Euliano Park,Addition Financial Arena,UCF Softball Complex,UCF Soccer and Track Stadium,,Orlando Ice Den (club team),,"['#000000', '#B7A369']"
University of Cincinnati,Cincinnati,Bearcats,Cincinnati,OH,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Cincinnati_Bearcats,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/120px-Cincinnati_Bearcats_logo.svg.png,Nippert Stadium,UC Baseball Stadium,Fifth Third Arena,,,,,,"['#E00122', '#000000']"
University of Colorado Boulder,Colorado,Buffaloes,Boulder,CO,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Colorado_Buffaloes,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/330px-Colorado_Buffaloes_logo.svg.png,Folsom Field,,CU Events Center,,Prentup Field,,,,"['#A2A4A3', '#000000', '#CFB87C']"
University of Connecticut,UConn,Huskies,Storrs,CT,Public,FBS,Big East Conference[FB 4],https://en.wikipedia.org/wiki/UConn_Huskies,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/250px-Connecticut_Huskies_logo.svg.png,Pratt & Whitney Stadium at Rentschler Field,Elliot Ballpark,"Gampel Pavilion
PeoplesBank Arena",,Morrone Stadium,,Toscano Family Ice Forum,,"['#FFFFFF', '#000E2F']"
University of Dayton,Dayton,Flyers,Dayton,OH,Private,FCS,Atlantic 10 Conference[FB 8],https://en.wikipedia.org/wiki/Dayton_Flyers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/250px-Dayton_Flyers_logo.svg.png,Welcome Stadium,Woerner Field,UD Arena,,Baujan Field,,,,"['#D70036', '#002F87']"
University of Delaware,Delaware,Fightin' Blue Hens,Newark,DE,Public[O 1],FBS,Conference USA,https://en.wikipedia.org/wiki/Delaware_Fightin%27_Blue_Hens,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Delaware_Fightin%27_Blue_Hens_logo.svg/250px-Delaware_Fightin%27_Blue_Hens_logo.svg.png,Delaware Stadium,Bob Hannah Stadium,Bob Carpenter Center,Delaware Softball Diamond,Stuart and Suzanne Grant Stadium,Bob Carpenter Center,Fred Rust Ice Arena,,"['#00539F', '#FFD200']"
University of Denver,Denver,Pioneers,Denver,CO,Private,Non-football,Summit League[C 13],https://en.wikipedia.org/wiki/Denver_Pioneers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Denver_Pioneers_Athletics_logo.svg/250px-Denver_Pioneers_Athletics_logo.svg.png,,,Hamilton Gymnasium,,University of Denver Soccer Stadium,,Magness Arena,{'Lacrosse stadium': 'Peter Barton Lacrosse Stadium'},"['#BA0C2F', '#A89968']"
University of Detroit Mercy,Detroit Mercy,Titans,Detroit,MI,Private,Non-football,Horizon League,https://en.wikipedia.org/wiki/Detroit_Mercy_Titans,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Detroit_Titans_logo.svg/250px-Detroit_Titans_logo.svg.png,,,Calihan Hall,Buysse Ballpark,Titan Field,,,,"['#002D72', '#FFFFFF', '#A6093D']"
University of Evansville,Evansville,Purple Aces,Evansville,IN,Private,Non-football,Missouri Valley Conference,https://en.wikipedia.org/wiki/Evansville_Purple_Aces,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Evansville_Athletics_logo.svg/250px-Evansville_Athletics_logo.svg.png,,Charles H. Braun Stadium,"Ford Center (men)
Meeks Family Fieldhouse at Carson Center (women)",,Arad McCutchan Stadium,,,,"['#470A68', '#ED8B00', '#FFFFFF']"
University of Florida,Florida,Gators,Gainesville,FL,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Florida_Gators,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/250px-Florida_Gators_gator_logo.svg.png,Ben Hill Griffin Stadium,Condron Family Ballpark,Exactech Arena at Stephen C. O'Connell Center,Katie Seashole Pressly Stadium,Donald R. Dizney Stadium,Exactech Arena at Stephen C. O'Connell Center,,{'Lacrosse stadium': 'Donald R. Dizney Stadium'},"['#003087', '#FA4616', '#FFFFFF']"
University of Georgia,Georgia,Bulldogs[h],Athens,GA,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Georgia_Bulldogs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/250px-Georgia_Athletics_logo.svg.png,Dooley Field at Sanford Stadium,Foley Field,Stegeman Coliseum,Jack Turner Stadium,,Stegeman Coliseum,,,"['#BA0C2F', '#2C2A29']"
University of Hawaiʻi at Mānoa,Hawaiʻi,Rainbow Warriors[w],Honolulu,HI,Public,FBS,Big West Conference[FB 5][C 11],https://en.wikipedia.org/wiki/Hawaii_Rainbow_Warriors_and_Rainbow_Wahine,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Hawaii_Warriors_logo.svg/250px-Hawaii_Warriors_logo.svg.png,Clarence T. C. Ching Athletics Complex (temporary)[1],Les Murakami Stadium,Bankoh Arena at the Stan Sheriff Center,Rainbow Wahine Softball Stadium,Waipi‘o Peninsula Soccer Stadium,,,,"['#005838', '#BCBEC0', '#231F20', '#FFFFFF']"
University of Houston,Houston,Cougars,Houston,TX,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Houston_Cougars,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/250px-Houston_Cougars_primary_logo.svg.png,TDECU Stadium,Darryl & Lori Schroeder Park,Fertitta Center,Cougar Softball Stadium,,,,,"['#C92A39', '#FFFFFF']"
University of Idaho,Idaho,Vandals,Moscow,ID,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Idaho_Vandals,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Idaho_Vandals_logo.svg/250px-Idaho_Vandals_logo.svg.png,Kibbie Dome,,ICCU Arena,,Kibbie Dome,Memorial Gymnasium,,,"['#808080', '#000000', '#F1B300']"
University of Illinois Chicago,UIC,Flames,Chicago,IL,Public,Non-football,Missouri Valley Conference,https://en.wikipedia.org/wiki/UIC_Flames,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/UIC_Flames_wordmark.svg/250px-UIC_Flames_wordmark.svg.png,,Curtis Granderson Stadium,Credit Union 1 Arena,Flames Field,Flames Field,,,,"['#D50032', '#001E62']"
University of Illinois Urbana-Champaign,Illinois,Fighting Illini,Urbana[L 24],IL,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Illinois_Fighting_Illini,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/120px-Illinois_Fighting_Illini_logo.svg.png,Memorial Stadium,Illinois Field,State Farm Center,Eichelberger Field,Demirjian Park,,,,"['#13294B', '#FF5F05', '#FFFFFF']"
University of Kansas,Kansas,Jayhawks,Lawrence,KS,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Kansas_Jayhawks,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Kansas_Jayhawks_1946_logo.svg/250px-Kansas_Jayhawks_1946_logo.svg.png,David Booth Kansas Memorial Stadium,Hoglund Ballpark,Allen Fieldhouse,Arrocha Ballpark,Rock Chalk Park,,,,"['#E8000D', '#0051BA']"
University of Kentucky,Kentucky,Wildcats,Lexington,KY,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Kentucky_Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/250px-Kentucky_Wildcats_logo.svg.png,Kroger Field,Kentucky Proud Park,"Rupp Arena (men)
Memorial Coliseum (women)",John Cropp Stadium,,Memorial Coliseum,,,"['#0033A0', '#FFFFFF']"
University of Louisiana at Lafayette,Louisiana,Ragin' Cajuns,Lafayette,LA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Louisiana_Ragin%27_Cajuns,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/La-lafayette_logo_from_NCAA.svg/250px-La-lafayette_logo_from_NCAA.svg.png,Cajun Field,M. L. Tigue Moore Field at Russo Park,"Cajundome
Earl K. Long Gymnasium",Yvette Girouard Field at Lamson Park,Home Bank Soccer/Track Facility,,,,"['#FFFFFF', '#CE181E']"
University of Louisiana at Monroe,ULM[N 22],Warhawks,Monroe,LA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Louisiana%E2%80%93Monroe_Warhawks,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Louisiana-Monroe_Warhawks_logo.svg/250px-Louisiana-Monroe_Warhawks_logo.svg.png,Malone Stadium,Lou St. Amant Field,Fant–Ewing Coliseum,ULM Softball Complex,Groseclose Track at Brown Stadium,,,,"['#840029', '#FDB913']"
University of Louisville,Louisville,Cardinals,Louisville,KY,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Louisville_Cardinals,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/250px-Louisville_Cardinals_logo.svg.png,L&N Federal Credit Union Stadium,Jim Patterson Stadium,KFC Yum! Center,,Lynn Stadium,,,,"['#000000', '#C9001F']"
University of Maine,Maine,Black Bears,Orono,ME,Public,FCS,America East Conference[FB 3],https://en.wikipedia.org/wiki/Maine_Black_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Maine_Black_Bears_logo.svg/250px-Maine_Black_Bears_logo.svg.png,Alfond Stadium,,Memorial Gymnasium (University of Maine),,,,Alfond Arena,,"['#003263', '#FFFFFF', '#B0D7FF']"
"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville[L 25],MD,Public,Non-football,America East Conference,https://en.wikipedia.org/wiki/UMBC_Retrievers,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/UMBC_Retrievers_logo.svg/250px-UMBC_Retrievers_logo.svg.png,,The Baseball Factory Field at UMBC,Chesapeake Employers Insurance Arena,,Retriever Soccer Park,,,,"['#FDB515', '#000000']"
"University of Maryland, College Park",Maryland,Terrapins,College Park,MD,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Maryland_Terrapins,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/250px-Maryland_Terrapins_logo.svg.png,SECU Stadium,"Bob ""Turtle"" Smith Stadium",XFINITY Center,Maryland Softball Stadium,Ludwig Field,,,{'Lacrosse stadium': 'SECU Stadium'},"['#E21833', '#000000', '#FFD200', '#FFFFFF']"
University of Maryland Eastern Shore,Maryland Eastern Shore,Hawks,Princess Anne[L 26],MD,Public,Non-football,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/UMES_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Maryland_Eastern_Shore_Hawks_logo.svg/250px-Maryland_Eastern_Shore_Hawks_logo.svg.png,,Hawk Stadium,Hytche Athletic Center,,,,,,"['#888B8D', '#651D32']"
University of Massachusetts Amherst,UMass / Massachusetts[N 23],Minutemen[au],Amherst,MA,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/UMass_Minutemen_and_Minutewomen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UMass_Amherst_athletics_logo.svg/250px-UMass_Amherst_athletics_logo.svg.png,Warren McGuirk Alumni Stadium,,William D. Mullins Memorial Center,,,,,,"['#881C1C', '#FFFFFF']"
University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,MA,Public,Non-football,America East Conference,https://en.wikipedia.org/wiki/UMass_Lowell_River_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/UMass_Lowell_River_Hawks_logo.svg/250px-UMass_Lowell_River_Hawks_logo.svg.png,,Edward A. LeLacheur Park,Tsongas Center at UMass Lowell/Kennedy Family Athletic Complex,,Cushing Field Complex,,,,"['#0067B1', '#FFFFFF', '#C8102E']"
University of Memphis,Memphis,Tigers,Memphis,TN,Public,FBS,American Conference,https://en.wikipedia.org/wiki/Memphis_Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Memphis_Tigers_logo.svg/250px-Memphis_Tigers_logo.svg.png,Simmons Bank Liberty Stadium,FedExPark,FedExForum,,Mike Rose Soccer Complex,,,,"['#004991', '#8E908F']"
University of Miami,Miami (Florida),Hurricanes,Coral Gables,FL,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Miami_Hurricanes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/250px-Miami_Hurricanes_logo.svg.png,Hard Rock Stadium,Alex Rodriguez Park at Mark Light Field,Watsco Center,,Cobb Stadium,,,,"['#F05A00', '#005030', '#FFFFFF']"
University of Michigan,Michigan,Wolverines,Ann Arbor,MI,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Michigan_Wolverines,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/250px-Michigan_Wolverines_logo.svg.png,Michigan Stadium,Ray Fisher Stadium,Crisler Center,Alumni Field at The Wilpon Complex,U-M Soccer Stadium,,Yost Ice Arena,{'Lacrosse stadium': 'U-M Lacrosse Stadium'},"['#FFCB05', '#00274C']"
University of Minnesota,Minnesota,Golden Gophers,Minneapolis,MN,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Minnesota_Golden_Gophers,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/250px-Minnesota_Golden_Gophers_logo.svg.png,Huntington Bank Stadium,"Siebert Field
U.S. Bank Stadium (February and March, 2017–present)",Williams Arena,,Elizabeth Lyle Robbie Stadium,,"3M Arena at Mariucci (men)
Ridder Arena (women)",,"['#5B0013', '#FFB71E']"
University of Missouri–Columbia[N 24],Missouri,Tigers,Columbia,MO,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Missouri_Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/250px-Missouri_Tigers_logo.svg.png,"Faurot Field (""The Zou"") at Memorial Stadium",Taylor Stadium,Mizzou Arena,,,Hearnes Center,,,"['#000000', '#FDB719']"
University of Missouri–Kansas City,Kansas City,Roos,Kansas City,MO,Public,Non-football,Summit League,https://en.wikipedia.org/wiki/Kansas_City_Roos,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Kansas_City_Roos_logo.svg/250px-Kansas_City_Roos_logo.svg.png,,,Swinney Recreation Center (men and women),Urban Youth Academy Softball Complex[1],Durwood Soccer Stadium,,,,"['#004B87', '#FFC72C']"
University of Montana,Montana,Grizzlies[ak],Missoula,MT,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Montana_Grizzlies_and_Lady_Griz,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Montana_Griz_logo.svg/250px-Montana_Griz_logo.svg.png,Washington–Grizzly Stadium,,Dahlberg Arena,Grizzly Field,South Campus Stadium,,,,"['#5E001D', '#6B6B6B']"
University of Nebraska–Lincoln,Nebraska,Cornhuskers,Lincoln,NE,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Nebraska_Cornhuskers,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Nebraska_Cornhuskers_logo.svg/250px-Nebraska_Cornhuskers_logo.svg.png,Memorial Stadium,Hawks Field,Pinnacle Bank Arena,Bowlin Stadium,Hibner Stadium,John Cook Arena,,{'Wrestling arena': 'Devaney Center'},"['#D00000', '#F5F1E7']"
University of Nebraska Omaha,Omaha,Mavericks,Omaha,NE,Public,Non-football,Summit League,https://en.wikipedia.org/wiki/Omaha_Mavericks,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/250px-Omaha_Mavericks_logo.svg.png,,Tal Anderson Field,Baxter Arena,Connie Claussen Field,Al F. Caniglia Field,,Baxter Arena,,"['#000000', '#D71920', '#FFFFFF']"
"University of Nevada, Las Vegas",UNLV,Rebels[aw],Paradise[L 27],NV,Public,FBS,Mountain West Conference,https://en.wikipedia.org/wiki/UNLV_Rebels,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/UNLV_Rebels_wordmark.svg/250px-UNLV_Rebels_wordmark.svg.png,Allegiant Stadium,Earl Wilson Stadium,"Thomas & Mack Center (men's)
T-Mobile Arena (select events)
Cox Pavilion (women's)",,Peter Johann Soccer Field,,City National Arena,,"['#CF0A2C', '#CAC8C8']"
"University of Nevada, Reno",Nevada,Wolf Pack,Reno,NV,Public,FBS,Mountain West Conference,https://en.wikipedia.org/wiki/Nevada_Wolf_Pack,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/250px-Nevada_Wolf_Pack_logo.svg.png,Mackay Stadium,William Peccole Park,Lawlor Events Center,,Mackay Stadium,,,,"['#041E42', '#74767B']"
University of New Hampshire,New Hampshire,Wildcats,Durham,NH,Public,FCS,America East Conference[FB 3],https://en.wikipedia.org/wiki/New_Hampshire_Wildcats,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/New_Hampshire_Wildcats_logo.svg/250px-New_Hampshire_Wildcats_logo.svg.png,Wildcat Stadium,,Lundholm Gymnasium,,Bremner Field,,Whittemore Center,,"['#041E42', '#BBBCBC', '#FFFFFF']"
University of New Haven,New Haven,Chargers,West Haven,CT,Private,FCS,Northeast Conference[FB 11][FB 11],https://en.wikipedia.org/wiki/New_Haven_Chargers,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/New_Haven_Chargers_secondary_logo.svg/250px-New_Haven_Chargers_secondary_logo.svg.png,Ralph F. DellaCamera Stadium,Frank Vieira Field,The Jeffrey P. Hazell Center,UNH Softball Field,Kathy Zolad Stadium,The Jeffery P. Hazel Center,,{'Lacrosse stadium': 'Kathy Zolad Stadium'},"['#ffc425', '#041e42']"
University of New Orleans,New Orleans,Privateers,New Orleans,LA,Public,Non-football,Southland Conference,https://en.wikipedia.org/wiki/New_Orleans_Privateers,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/New_Orleans_Privateers_logo.svg/250px-New_Orleans_Privateers_logo.svg.png,,Maestri Field at Privateer Park,Lakefront Arena,,,Human Performance Center,,,"['#A3A9AD', '#005CA6', '#002F56']"
University of North Alabama,North Alabama,Lions,Florence,AL,Public,FCS,Atlantic Sun Conference[FB 1][C 2],https://en.wikipedia.org/wiki/North_Alabama_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/North_Alabama_Lions_logo.svg/250px-North_Alabama_Lions_logo.svg.png,Braly Stadium,Mike D. Lane Field,CB&S Bank Arena at Flowers Hall,Hilda B. Anderson Softball Stadium,Cox Creek Sports Complex,,,,"['#FFB92A', '#FFFFFF', '#592B8A']"
University of North Carolina at Asheville,UNC Asheville,Bulldogs,Asheville,NC,Public,Non-football,Big South Conference,https://en.wikipedia.org/wiki/UNC_Asheville_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/UNC_asheville_bulldog_head.png/250px-UNC_asheville_bulldog_head.png,,Greenwood Baseball Field,Kimmel Arena,,Greenwood Soccer Field,,,,"['#003DA5', '#FFFFFF']"
University of North Carolina at Chapel Hill,North Carolina,Tar Heels,Chapel Hill,NC,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/North_Carolina_Tar_Heels,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/250px-North_Carolina_Tar_Heels_logo.svg.png,Kenan Memorial Stadium,Bryson Field at Boshamer Stadium,"Dean E. Smith Student Activities Center (men)
Carmichael Arena (women)",,Dorrance Field,,,,"['#7BAFD4', '#FFFFFF']"
University of North Carolina at Charlotte,Charlotte,49ers,Charlotte,NC,Public,FBS,American Conference,https://en.wikipedia.org/wiki/Charlotte_49ers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Charlotte_49ers_logo.svg/120px-Charlotte_49ers_logo.svg.png,Jerry Richardson Stadium,Robert & Mariam Hayes Stadium,Dale F. Halton Arena,Sue M. Daughtridge Stadium,Transamerica Field,,,,"['#FFFFFF', '#005035']"
University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,NC,Public,Non-football,Southern Conference,https://en.wikipedia.org/wiki/UNC_Greensboro_Spartans,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/UNCG_Spartans_logo.svg/250px-UNCG_Spartans_logo.svg.png,,UNCG Baseball Stadium,"Fleming Gymnasium
First Horizon Coliseum",,UNCG Soccer Stadium,,,,
University of North Carolina at Wilmington,UNCW[N 25],Seahawks,Wilmington,NC,Public,Non-football,Coastal Athletic Association,https://en.wikipedia.org/wiki/UNC_Wilmington_Seahawks,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/UNC_Wilmington_Seahawks_logo.svg/250px-UNC_Wilmington_Seahawks_logo.svg.png,,Brooks Field,Trask Coliseum,Boseman Field,UNC Wilmington Soccer Stadium,,,,"['#FFD600', '#003366', '#006666']"
University of North Dakota,North Dakota,Fighting Hawks,Grand Forks,ND,Public,FCS,Summit League[FB 13],https://en.wikipedia.org/wiki/North_Dakota_Fighting_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/North_Dakota_Fighting_Hawks_logo.svg/250px-North_Dakota_Fighting_Hawks_logo.svg.png,Alerus Center,,Betty Engelstad Sioux Center,,,,Ralph Engelstad Arena,,"['#000000', '#009A44', '#FFFFFF']"
University of Northern Colorado,Northern Colorado,Bears,Greeley,CO,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Northern_Colorado_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Northern_Colorado_Bears_logo.svg/250px-Northern_Colorado_Bears_logo.svg.png,Nottingham Field,Jackson Field,Bank of Colorado Arena at Butler–Hancock Sports Pavilion,Gloria Rodriguez Field,Jackson Stadium,,,,"['#F6B000', '#013C65']"
University of Northern Iowa,Northern Iowa,Panthers,Cedar Falls,IA,Public,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Northern_Iowa_Panthers,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Northern_Iowa_Panters_logo.svg/250px-Northern_Iowa_Panters_logo.svg.png,UNI-Dome,,McLeod Center,,,,,,"['#FFB500', '#500778']"
University of North Florida,North Florida,Ospreys,Jacksonville,FL,Public,Non-football,Atlantic Sun Conference,https://en.wikipedia.org/wiki/North_Florida_Ospreys,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Northflorida_ospreys_wmark_2014.svg/250px-Northflorida_ospreys_wmark_2014.svg.png,,Harmon Stadium,UNF Arena,UNF Softball Complex,Hodges Stadium,,,,"['#D9D9D9', '#00246B', '#FFFFFF']"
