col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Nick Allen,C,6-10,230,Illinois State,Fr,-,Bradley (IL),Bradley Bourbonnais Community High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Nick_ilst25.jpg,15.0,"Bradley, Illinois",United States,Draft Eligible in 2029
Quincy Allen,GF,6-8,205,Bryant,Sr,"Jul 2, 2002",Silver Spring (MD),Maret High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Quincy_cu21.jpg,4.0,"Silver Spring, Maryland",United States,Draft Eligible in 2026
Will Allen,F,6-7,225,Louisiana Tech,Sr,"Oct 28, 2001",New Orleans (LA),Bonnabel,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Will_latech22.jpg,14.0,"New Orleans, Louisiana",United States,Draft Eligible in 2026
Riley Allenspach,C,6-11,247,George Mason,Jr,-,Charlotte (NC),Providence Day School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allenspach_Riley_sam23.jpg,35.0,"Charlotte, North Carolina",United States,Draft Eligible in 2027
Vasean Allette,G,6-2,195,Texas-San Antonio,Jr,"Apr 28, 2004",Thornhill (ON),Thornlea Secondary School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allette_Vasean_odu23.jpg,3.0,"Thornhill, Canada",Canada,Draft Eligible in 2027
Luke Allison,G,6-0,170,Presbyterian,So,-,Missoula (MT),Sentinel High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allison_Luke_pres24.jpg,1.0,"Missoula, Montana",United States,Draft Eligible in 2028
Luke Almodovar,G,6-3,190,Southeast Missouri State,Jr,-,Noblesville (IN),Noblesville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Almodovar_Luke_somo25.jpg,10.0,"Noblesville, Indiana",United States,Draft Eligible in 2027
Bruno Alocen,F,6-6,180,Indiana State,So,"Apr 16, 2006",Manresa,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alocen_Bruno_inst24.jpg,4.0,"Manresa, Spain",Spain,Draft Eligible in 2028
Aleks Alston,C,6-10,204,Maryland,Fr,-,Chicago (IL),Kenwood Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Aleks_md25.jpg,24.0,"Chicago, Illinois",United States,Draft Eligible in 2029
Christian Alston,F,6-7,200,Abilene Christian,So,-,Memphis (TN),Bartlett High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Christian_acu24.jpg,7.0,"Memphis, Tennessee",United States,Draft Eligible in 2028
Markell Alston,G,6-1,185,UCLA,Fr,-,Queens (NY),Christ the King,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Markell_ucla25.jpg,10.0,"Queens, New York",United States,Draft Eligible in 2029
Torey Alston,FC,6-9,210,Middle Tennessee State,So,"Aug 14, 2004",Durham (NC),Winston Salem Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Torey_mtsu23.jpg,10.0,"Durham, North Carolina",United States,Draft Eligible in 2028
Ryan Altman,F,6-6,200,Pennsylvania,Fr,-,Chestnut Hill (MA),Rivers School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Altman_Ryan_penn_25.jpg,10.0,"Chestnut Hill, Massachusetts",United States,Draft Eligible in 2029
A.J. Altobelli,G,5-10,N/A,N.J.I.T.,Fr,-,Westfield (NJ),Union Catholic Regional High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Altobelli_AJ_njit25.jpg,5.0,"Westfield, New Jersey",United States,Draft Eligible in 2029
Salih Altuntas,C,6-10,280,Miami (FL),Fr,"Feb 27, 2006",N/A,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/201918.png,11.0,,Turkey,Draft Eligible in 2029
Bubz Alvarez,F,6-5,200,South Dakota State,So,-,Houston (TX),Heights High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alvarez_Bubz_sdsu23.jpg,12.0,"Houston, Texas",United States,Draft Eligible in 2028
Diogo Alves,G,6-2,N/A,Radford,Fr,"Feb 10, 2006",N/A,Tualatin High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alves_Diogo_rad25.jpg,31.0,,Brazil,Draft Eligible in 2029
Hank Alvey,FC,6-9,240,Lehigh,So,-,Mapleton (IL),Illini Bluffs High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alvey_Hank_lehigh24.jpg,35.0,"Mapleton, Illinois",United States,Draft Eligible in 2028
Eugene Alvin,F,6-7,225,Morgan State,Jr,-,Fort Myers (FL),Gateway Charter School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alvin_Eugene_mor25.jpg,55.0,"Fort Myers, Florida",United States,Draft Eligible in 2027
Justin Amadi,PF,6-7,225,Mount St. Mary's,Sr,-,Simpsonville (SC),Dorman High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amadi_Justin_jmu20.jpg,11.0,"Simpsonville, South Carolina",United States,Draft Eligible in 2026
Papa Amadou Kante,C,6-10,235,Pittsburgh,So,"Oct 27, 2003",Dakar,South Kent School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amadoukante_Papa_pitt23.jpg,4.0,"Dakar, Senegal",Senegal,Draft Eligible in 2028
Al Amadou,PF,6-9,205,Saint Joseph's,So,-,Quakertown (PA),Chestnut Hill Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amadou_Al_marq23.jpg,21.0,"Quakertown, Pennsylvania",United States,Draft Eligible in 2028
Richard Amaefule,PF,6-9,230,Grambling State,Sr,"Nov 21, 2000",London,Woodrow Wilson High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amaefule_Richard_etsu20.jpg,10.0,"London, England",England,Draft Eligible in 2026
Leo Amari IV,G,6-2,170,Evansville,Jr,-,Sherman Oaks (CA),Viewpoint School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amari_Leo_niu23.jpg,13.0,"Sherman Oaks, California",United States,Draft Eligible in 2027
Cam Amboree,G,6-3,160,Southern,Sr,-,Pearland (TX),Shadow Creek High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amboree_Cam_oru23.jpg,3.0,"Pearland, Texas",United States,Draft Eligible in 2026
Charvez Ambrose,F,6-6,175,Middle Tennessee State,Jr,-,Memphis (TN),Bartlett High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ambrose_Charvez_mtsu25.jpg,7.0,"Memphis, Tennessee",United States,Draft Eligible in 2027
Jamal Ambrose,C,6-10,250,Texas A&M-CC,Jr,-,Apple Valley (MN),Eastview High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ambrose_Jamal_om22.jpg,24.0,"Apple Valley, Minnesota",United States,Draft Eligible in 2027
Davis Ambuehl,F,6-9,245,Sacramento State,Sr,-,Los Angeles (CA),Palisades Charter High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ambuehl_Davis_ole22.jpg,22.0,"Los Angeles, California",United States,Draft Eligible in 2026
Uchenna Amene,G,6-0,180,Central Michigan,Fr,-,Detroit (MI),DME Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amene_Uchenna_cmu25.jpg,0.0,"Detroit, Michigan",United States,Draft Eligible in 2029
Noah Amenhauser,C,7-2,240,Oregon State,Jr,"Aug 17, 2004",Goodyear (AZ),Estrella Foothills High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amenhauser_Noah_gcu23.jpg,40.0,"Goodyear, Arizona",United States,Draft Eligible in 2027
Nate Ament,F,6-9,190,Tennessee,Fr,"Dec 10, 2006",Manassas (VA),Highland School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ament_Nate_ten25.jpg,10.0,"Manassas, Virginia",United States,Draft Eligible in 2029
Dai Dai Ames,PG,6-2,190,California,Jr,"Jun 2, 2005",Chicago (IL),Kenwood Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ames_Daidai_kst23.jpg,7.0,"Chicago, Illinois",United States,Draft Eligible in 2027
"M.J. Amey, Jr.",F,6-2,205,Loyola Marymount,Sr,-,Vacaville (CA),Vacaville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amey_MJ_sjsu22.jpg,5.0,"Vacaville, California",United States,Draft Eligible in 2026
Klairus Amir,F,6-7,180,Campbell,Fr,"May 4, 2005",Marietta (GA),Dream City Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amir_Klairus_aus24.jpg,10.0,"Marietta, Georgia",Australia,Draft Eligible in 2029
Amar Amkou,PG,6-7,210,Florida Atlantic,Fr,"Nov 15, 2005",Thies,NBA Academy Africa,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amkou_Amar_fau24.jpg,3.0,"Thies, Senegal",Senegal,Draft Eligible in 2029
Miles Amos,G,6-2,200,Seattle,Jr,-,San Francisco (CA),Stuart Hall High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amos_Miles_sea25.jpg,2.0,"San Francisco, California",United States,Draft Eligible in 2027
Xavier Amos,F,6-8,220,Loyola (IL),Sr,-,Chicago (IL),Whitney Young High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amos_Xavier_niu22.jpg,13.0,"Chicago, Illinois",United States,Draft Eligible in 2026
Connor Amundsen,G,5-11,N/A,Dartmouth,So,-,Fresno (CA),Clovis North High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amundsen_Connor_dart.jpg,30.0,"Fresno, California",United States,Draft Eligible in 2028
J.T. Amundsen,G,5-8,160,Northern Arizona,Fr,-,Goodyear (AZ),Millennium High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amundson_JT_nau25.jpg,0.0,"Goodyear, Arizona",United States,Draft Eligible in 2029
Brian Amuneke,G,6-5,184,Wichita State,So,-,Los Angeles (CA),Rancho Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amuneke_Brian_fsu24.jpg,5.0,"Los Angeles, California",United States,Draft Eligible in 2028
Seth Amunrud,GF,6-3,164,Montana State,Jr,-,Bozeman (MT),Manhattan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Amunrud_Seth_mtst25.jpg,12.0,"Bozeman, Montana",United States,Draft Eligible in 2027
Abdullah Amzil,F,6-7,210,UC Davis,Fr,"Aug 30, 2005",Helsinki,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/199591.png,14.0,"Helsinki, Finland",Finland,Draft Eligible in 2029
Aitor Anabitarte,C,6-8,216,Jacksonville State,Sr,"Mar 12, 2002",San Sebastian,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anabitarte_Aitor_jaxst25.jpg,,"San Sebastian, Spain",Spain,Draft Eligible in 2026
Roddie Anderson III,G,6-3,190,Xavier,Sr,"Mar 29, 2004",Huntington Beach (CA),Fountain Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Roddie_ucsd22.jpg,0.0,"Huntington Beach, California",United States / Azerbaijan,Draft Eligible in 2026
Courtney Anderson Jr.,G,6-5,192,Montana,So,"Aug 15, 2005",Vallejo (CA),Dublin High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Courtney_cu23.jpg,13.0,"Vallejo, California",United States,Draft Eligible in 2028
Alex Anderson,F,6-6,200,Texas Southern,Sr,-,Memphis (TN),Tipton-Rosemark Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Alex_usa22.jpg,0.0,"Memphis, Tennessee",United States,Draft Eligible in 2026
Amare Anderson,G,6-1,180,Presbyterian,Fr,-,Greer (SC),Greer High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Amare_pres25.jpg,10.0,"Greer, South Carolina",United States,Draft Eligible in 2029
Asjon Anderson,G,6-2,174,Alabama State,Sr,-,Tacoma (WA),Mount Tahoma High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Asjon_utt22.jpg,20.0,"Tacoma, Washington",United States,Draft Eligible in 2026
Blake Anderson,G,6-3,200,Miami (OH),Jr,-,Evansville (IN),Evansville Memorial High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Blake_mioh23.jpg,33.0,"Evansville, Indiana",United States,Draft Eligible in 2027
DayJuan Anderson,G,6-2,180,UAB,So,-,Dayton (OH),Ponitz Career Technology Center,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Dayjuan_wsu23.jpg,0.0,"Dayton, Ohio",United States,Draft Eligible in 2028
Derrick Anderson,G,6-1,180,Youngstown State,Sr,-,Youngstown (OH),Boardman High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Derrick_ysu25.jpg,3.0,"Youngstown, Ohio",United States,Draft Eligible in 2026
Dylan Anderson,C,7-0,235,Murray State,Jr,-,Gilbert (AZ),Perry High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Dylan_uofa22.jpg,11.0,"Gilbert, Arizona",United States,Draft Eligible in 2027
Evan Anderson,G,6-4,N/A,South Dakota,Fr,-,Onalaska (WI),Onalaska High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Evan_sd24.jpg,10.0,"Onalaska, Wisconsin",United States,Draft Eligible in 2029
Garrett Anderson,F,6-6,195,North Dakota,Sr,-,Phoenix (AZ),PPHoenix College Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Garrett_sjsu22.jpg,16.0,"Phoenix, Arizona",United States,Draft Eligible in 2026
Jack Anderson,G,6-4,185,American University,Fr,-,San Jose (CA),Menlo-Atherton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Jack_am25.jpg,8.0,"San Jose, California",United States,Draft Eligible in 2029
Jermaurhiyun Anderson,G,6-4,180,Louisiana Tech,So,-,Greenville (SC),Quality Education Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Jermaurhiyun_lat25.jpg,1.0,"Greenville, South Carolina",United States,Draft Eligible in 2028
JoJo Anderson,G,6-1,180,Eastern Washington,Sr,-,Spokane (WA),Mt. Spokane High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Jojo_id24.jpg,22.0,"Spokane, Washington",United States,Draft Eligible in 2026
"Christian Anderson, Jr.",G,6-2,175,Texas Tech,So,"Apr 2, 2006",Atlanta (GA),Oak Hill Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Christian_txtech24.jpg,4.0,"Atlanta, Georgia",United States / Germany,Draft Eligible in 2028
"Nick Anderson, Jr.",G,6-5,195,Rice,Sr,-,League City (TX),Clear Creek High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Nick_pv24.jpg,23.0,"League City, Texas",United States,Draft Eligible in 2026
Luke Anderson,F,6-8,200,Bellarmine,So,-,Goshen (KY),North Oldham High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Luke_bel23.jpg,15.0,"Goshen, Kentucky",United States,Draft Eligible in 2028
Makhai Anderson,GF,6-6,195,Wagner,So,-,Hamden (CT),Solebury Prep School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Makhai_wag24.jpg,15.0,"Hamden, Connecticut",United States,Draft Eligible in 2028
Nic Anderson,G,6-4,180,Loyola (IL),Fr,-,Olathe (KS),Olathe South High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Nic_loy25.jpg,8.0,"Olathe, Kansas",United States,Draft Eligible in 2029
Terry Anderson,SF,6-6,202,High Point,Sr,-,Deer Park (TX),Deer Park High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Terry_lam22.jpg,5.0,"Deer Park, Texas",United States,Draft Eligible in 2026
Treyson Anderson,C,6-9,240,North Dakota State,So,-,Lincoln (NE),Pius X High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Treyson_ndsu24.jpg,44.0,"Lincoln, Nebraska",United States,Draft Eligible in 2028
Tucker Anderson,F,6-9,210,Utah State,Jr,-,Centerton (AR),Bentonville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Tucker_uca23.jpg,3.0,"Centerton, Arkansas",United States,Draft Eligible in 2027
Zach Anderson,G,6-3,185,Sacramento State,Jr,-,Scottsdale (AZ),Desert Mountain High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Zach_sac25.jpg,7.0,"Scottsdale, Arizona",United States,Draft Eligible in 2027
Anthony Andrews,F,6-7,215,Texas Southern,Fr,-,Bellaire (TX),Bellaire High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Anthony_tsu25.jpg,8.0,"Bellaire, Texas",United States,Draft Eligible in 2029
Dylan Andrews,G,6-3,180,Boise State,Sr,-,Los Angeles (CA),AZ Compass Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Dylan_ucla22.jpg,4.0,"Los Angeles, California",United States,Draft Eligible in 2026
Mario Andrews,F,6-7,200,Alabama State,Sr,-,Independence (LA),Independence High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Mario_alst24.jpg,4.0,"Independence, Louisiana",United States,Draft Eligible in 2026
Torrin Andrews,G,6-4,190,Coppin State,Sr,-,West Palm Beach (FL),Forest High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Torrin_csu25.jpg,11.0,"West Palm Beach, Florida",United States,Draft Eligible in 2026
Tyler Andrews,G,6-6,205,Bethune-Cookman,Sr,-,Cedar Rapids (IA),Kimball Union Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Tyler_umkc22.jpg,25.0,"Cedar Rapids, Iowa",United States,Draft Eligible in 2026
Walker Andrews,G,6-1,170,Virginia Military,So,-,Fincastle (VA),Northfield Mount Hermon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrews_Walker_vmiu23.jpg,14.0,"Fincastle, Virginia",United States,Draft Eligible in 2028
Cole Andrews-Heitz,G,6-1,170,Rice,Jr,-,Leander (TX),Rouse High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Andrewsheitz_Cole_rice24.jpg,10.0,"Leander, Texas",United States,Draft Eligible in 2027
Denver Anglin,PG,6-1,185,Iona,Jr,-,Peapack-Gladstone (NJ),Gill St. Bernard's School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anglin_Denver_geo22.jpg,2.0,"Peapack-Gladstone, New Jersey",United States,Draft Eligible in 2027
Ethan Anish,G,6-1,170,Duquesne,So,-,Pittsburgh (PA),Allderdice High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anish_Ethan_duq23.jpg,32.0,"Pittsburgh, Pennsylvania",United States,Draft Eligible in 2028
C.J. Anthony,G,6-0,195,Iona,Sr,-,Canal Winchester (OH),Harvest Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anthony_CJ_cin21.jpg,11.0,"Canal Winchester, Ohio",United States,Draft Eligible in 2026
Kevin Anthony,C,6-10,245,Lindenwood,Jr,-,Chicago (IL),Von Steuben High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anthony_Kevin_lin25.jpg,21.0,"Chicago, Illinois",United States,Draft Eligible in 2027
Kiyan Anthony,F,6-5,185,Syracuse,Fr,"Mar 7, 2007",New York (NY),Long Island Lutheran High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anthony_Kiyan_syr25.jpg,7.0,"New York, New York",United States,Draft Eligible in 2029
Vere Anthony,G,6-0,190,New Haven,Fr,-,Queens (NY),St. Francis Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anthony_Vere_nh25.jpg,10.0,"Queens, New York",United States,Draft Eligible in 2029
Kalu Anya,F,6-8,225,Saint Louis,Sr,-,Worcester (MA),IMG Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anya_Kalu_br22.jpg,6.0,"Worcester, Massachusetts",United States,Draft Eligible in 2026
Angok Anyang,F,6-9,215,Alabama A&M,Jr,-,Adelaide (SA),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anyang_Angok_alam25.jpg,13.0,"Adelaide, Australia",Australia,Draft Eligible in 2027
J.J. Apathjang,G,6-4,160,Northern Kentucky,Fr,-,Salt Lake City (UT),Real Salt Lake Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Apathjang_JJ_nku25.jpg,22.0,"Salt Lake City, Utah",United States,Draft Eligible in 2029
Jaymien Aponte,G,6-3,183,Rhode Island,So,-,Cranston (RI),Cranston High School West,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aponte_Jaymien_ri25.jpg,13.0,"Cranston, Rhode Island",United States,Draft Eligible in 2028
Braden Appelhans,SG,6-6,190,Drake,Jr,-,Blue Springs (MO),Western Reserve Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Appelhans_Braden_nm22.jpg,0.0,"Blue Springs, Missouri",United States,Draft Eligible in 2027
Logan Applegate,G,6-2,185,The Citadel,Sr,-,Nevada (MO),We Are United Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Applegate_Logan_cit25.jpg,4.0,"Nevada, Missouri",United States,Draft Eligible in 2026
Parker Applegate,GF,6-8,210,Central Arkansas,Jr,-,Murfreesboro (TN),Franklin Road Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Applegate_Parker_cark25.jpg,13.0,"Murfreesboro, Tennessee",United States,Draft Eligible in 2027
